ADJ	SENTIMENT
smart	intelligent
introspective	caring
adventurous	open minded
curious	curious
supportive	caring
thoughtful	caring
sensitive	caring
fun	humorous
trustworthy	honest
snappy dresser	stylish
eccentric	eccentric
free thinker	open minded
loyal	honest
flexible	open minded
innovative	creative
jovial	friendly
open minded	open minded
good at giving direction	patient
sympathetic	sensitive
empathetic	empathetic
curious	curious
inquisitive	curious
methodical	methodical
reflective	empathetic
earnest	honest
insecure	insecure
dapper	stylish
dedicated problem solver	methodical
patient	invested
loyal	friendly
team player	friendly
diplomatic	empathetic
friendly	friendly
worldly	open minded
thorough	methodical
insightful	intelligent
humorous	humorous
patient	patient
curious	curious
engaging	friendly
methodical	methodical
appreciative	patient
philosophical	intelligent
curious	curious
independent	independent
fancy	stylish
invested	invested
curious	curious
warm	friendly
scrupulous	honest
patient	patient
warm	friendly
friendly	friendly
witty	humorous
candid	honest
enthusiastic	inspiring
unique	unique
intelligent	intelligent
factual	methodical
respectful	respectful
logical	methodical
honest	honest
caring	caring
sensitive	sensitive
quick learner	intelligent
chivalrous	respectful
lover of games	humorous
magical	eccentric
puzzle solver	methodical
cautious	insecure
attentive	methodical
works within a system	methodical
intelligent	intelligent
compassionate	sensitive
unique	unique
charming	charming
creative	creative
friendly	friendly
logical	methodical
intelligent	intelligent
open minded	curious
honest	honest
reliable	honest
analytic	curious
inquisitive	curious
scrupulous	honest
sensitive	sensitive
stubborn	opinionated
hawt	stylish
adventurous	curious
curious	curious
carefree	friendly
man of simple pleasures	sensitive
friendly	friendly
honest	honest
sarcastic	sarcastic
opinionated	opinionated
naive	naive
intelligent	intelligent
inquisitive	curious
stylish	stylish
tolerant	open minded
condescending	opinionated
combative	opinionated
positive	inspiring
smart	intelligent
friendly	caring
kind	caring
caring	caring
respectful	caring
intellectual	intelligent
insightful	intelligent
thoughtful	respectful
stylish	stylish
unique	unique
inspiring	inspiring
